"Module","Workbook","Step","IssueType","Page","Element","Current","Proposed","Flag"
"APE","LSTP_APE_WF001.xlsx","38","ValuesDatasetConflict","pageCreateReferral","cmb_ServiceType","Values=""Advice/Consultation"" Dataset=""SERVICE_TYPE""","clear ONE (ambiguous)","NEEDS_REVIEW"
"APE","LSTP_APE_WF001.xlsx","39","ValuesDatasetConflict","pageCreateReferral","cmb_RefPriority","Values=""Urgent"" Dataset=""REFERRAL_PRIORITY""","clear ONE (ambiguous)","NEEDS_REVIEW"
"APE","LSTP_APE_WF001.xlsx","40","ValuesDatasetConflict","pageCreateReferral","cmb_RefType","Values=""Inpatient"" Dataset=""REFERRAL_TYPE""","clear ONE (ambiguous)","NEEDS_REVIEW"
"APE","LSTP_APE_WF001.xlsx","41","ValuesDatasetConflict","pageCreateReferral","cmb_RefSource","Values=""Self-referral"" Dataset=""REFERRAL_SOURCE""","clear ONE (ambiguous)","NEEDS_REVIEW"
"APE","LSTP_APE_WF001.xlsx","70","ValuesDatasetConflict","pageAppAPCreapeSourceSelection","cmb_AccessPlanType","Values=""Elective Admission"" Dataset=""APE_PLAN_TYPE""","clear ONE (ambiguous)","NEEDS_REVIEW"
"APE","LSTP_APE_WF001.xlsx","80","ValuesDatasetConflict","pageAccess Plan Details","cmb_Priority","Values=""Routine"" Dataset=""APE_PRIORITY""","clear ONE (ambiguous)","NEEDS_REVIEW"
"APE","LSTP_APE_WF001.xlsx","81","ValuesDatasetConflict","pageAccess Plan Details","cmb_AdministrativeCategory","Values=""NHS Patient"" Dataset=""APE_ADMIN_CATEGORY""","clear ONE (ambiguous)","NEEDS_REVIEW"
"APE","LSTP_APE_WF001.xlsx","82","ValuesDatasetConflict","pageAccess Plan Details","cmb_ElectiveAdmissionType","Values=""Elective Admission: Booked"" Dataset=""APE_ELECTIVE_ADMISSION_TYPE""","clear ONE (ambiguous)","NEEDS_REVIEW"
"APE","LSTP_APE_WF001.xlsx","83","ValuesDatasetConflict","pageAccess Plan Details","cmb_Intendedmanagement","Values=""Ordinary Admission (at least one night)"" Dataset=""APE_INTENDED_MANAGEMENT""","clear ONE (ambiguous)","NEEDS_REVIEW"
"APE","LSTP_APE_WF001.xlsx","134","ElementMissing","pageCopyaccessplanentry","lbl_copyAccessPlanEntry","pageCopyaccessplanentry / lbl_copyAccessPlanEntry","(exists nowhere)","NEEDS_LOCATOR"
"APE","LSTP_APE_WF001.xlsx","144","ValuesDatasetConflict","pageCopyaccessplanentry","","Values=""_current | | DD/MM/YYYY|_dtmCurrentday"" Dataset=""COPY_OVERRIDE_REASON""","clear ONE (ambiguous)","NEEDS_REVIEW"
"C&G","LSTP_C&G_WF001.xlsx","165","ElementMissing","pageUpdatecodelORENZO","btn-Finish","pageUpdatecodelORENZO / btn-Finish","(exists nowhere)","NEEDS_LOCATOR"
"CPPView","LSTP_CPPView_WF001.xlsx","112","ValuesDatasetConflict","pageHIALRRecordallergy","cmb_AllergyType","Values=""Drug Allergy"" Dataset=""ALLERGY_TYPE""","clear ONE (ambiguous)","NEEDS_REVIEW"
"CPPView","LSTP_CPPView_WF001.xlsx","114","ValuesDatasetConflict","pageHIALRRecordallergy","txt_Allergen","Values=""Amoxicillin"" Dataset=""ALLERGEN""","clear ONE (ambiguous)","NEEDS_REVIEW"
"CPPView","LSTP_CPPView_WF001.xlsx","116","ValuesDatasetConflict","pageHIALRRecordallergy","cmb_InformationSource","Values=""Patient"" Dataset=""ALLERGY_INFO_SOURCE""","clear ONE (ambiguous)","NEEDS_REVIEW"
"CPPView","LSTP_CPPView_WF001.xlsx","123","ElementMissing","pageHome","lnk_RecordAlert","pageHome / lnk_RecordAlert","(exists nowhere)","NEEDS_LOCATOR"
"CPPView","LSTP_CPPView_WF001.xlsx","128","ValuesDatasetConflict","pageRecordalert","btn_Add","Values=""Care Provider"" Dataset=""ALERT_INFO_SOURCE""","clear ONE (ambiguous)","NEEDS_REVIEW"
"CarePlan","LSTP_CarePlan_WF001.xlsx","19","ValuesDatasetConflict","pageRegRegistration","txt_City","Values=""London"" Dataset=""CITY""","clear ONE (ambiguous)","NEEDS_REVIEW"
"CarePlan","LSTP_CarePlan_WF001.xlsx","21","ElementMissing","pageRegRegistration","txt_ TelephoneHome","pageRegRegistration / txt_ TelephoneHome","(exists nowhere)","NEEDS_LOCATOR"
"CarePlan","LSTP_CarePlan_WF001.xlsx","22","ElementMissing","pageRegRegistration","txt_ TelephoneMobile","pageRegRegistration / txt_ TelephoneMobile","(exists nowhere)","NEEDS_LOCATOR"
"CarePlan","LSTP_CarePlan_WF001.xlsx","23","ElementMissing","pageRegRegistration","txt_ TelephoneEmail","pageRegRegistration / txt_ TelephoneEmail","(exists nowhere)","NEEDS_LOCATOR"
"CarePlan","LSTP_CarePlan_WF001.xlsx","57","ElementWrongPage","pageLORENZO","tbl_SelectRow","page=pageLORENZO","pageHIALRStrikeallergy | pageHome | pageRegRegistration","NEEDS_REVIEW"
"CarePlan","LSTP_CarePlan_WF001.xlsx","59","ElementWrongPage","pageLORENZO","tbl_SelectRow","page=pageLORENZO","pageHIALRStrikeallergy | pageHome | pageRegRegistration","NEEDS_REVIEW"
"CarePlan","LSTP_CarePlan_WF001.xlsx","60","ElementMissing","pageLORENZO","lnk_Inpatient","pageLORENZO / lnk_Inpatient","(exists nowhere)","NEEDS_LOCATOR"
"CarePlan","LSTP_CarePlan_WF001.xlsx","64","ElementMissing","pageAdmitIPAdmitRoad","cmb_intended management","pageAdmitIPAdmitRoad / cmb_intended management","(exists nowhere)","NEEDS_LOCATOR"
"CarePlan","LSTP_CarePlan_WF001.xlsx","89","ElementWrongPage","pageLORENZO","tbl_SelectRow","page=pageLORENZO","pageHIALRStrikeallergy | pageHome | pageRegRegistration","NEEDS_REVIEW"
"CarePlan","LSTP_CarePlan_WF001.xlsx","92","ElementWrongPage","pageLORENZO","tbl_SelectRow","page=pageLORENZO","pageHIALRStrikeallergy | pageHome | pageRegRegistration","NEEDS_REVIEW"
"CarePlan","LSTP_CarePlan_WF001.xlsx","103","ElementWrongPage","pageLORENZO","tbl_SelectRow","page=pageLORENZO","pageHIALRStrikeallergy | pageHome | pageRegRegistration","NEEDS_REVIEW"
"CarePlan","LSTP_CarePlan_WF001.xlsx","106","ElementWrongPage","pageLORENZO","tbl_SelectRow","page=pageLORENZO","pageHIALRStrikeallergy | pageHome | pageRegRegistration","NEEDS_REVIEW"
"CarePlan","LSTP_CarePlan_WF001.xlsx","116","ElementWrongPage","pageLORENZO","tbl_SelectRow","page=pageLORENZO","pageHIALRStrikeallergy | pageHome | pageRegRegistration","NEEDS_REVIEW"
"CarePlan","LSTP_CarePlan_WF001.xlsx","119","ElementWrongPage","pageLORENZO","tbl_SelectRow","page=pageLORENZO","pageHIALRStrikeallergy | pageHome | pageRegRegistration","NEEDS_REVIEW"
