"File","Element","Line","Type","Xpath"
"pageAdmitIPAdmitRoad.js","btn_Finishnow","9","CONFLICT (different xpath)","'//table//td[@title=""Finish now""]'"
"pageAdmitIPAdmitRoad.js","btn_Finishnow","21","CONFLICT (different xpath)","""//td[@title='Finish now']"""
"pageAdmitIPAdmitRoad.js","btn_Next","8","CONFLICT (different xpath)","'//table//td[@title=""Next""]'"
"pageAdmitIPAdmitRoad.js","btn_Next","18","CONFLICT (different xpath)","""//td[@title='Next']"""
"pageAdmitIPAdmitRoad.js","cmb_AdmissionSource","3","harmless (identical)","""//input[@title='Select Admission source']"""
"pageAdmitIPAdmitRoad.js","cmb_AdmissionSource","15","harmless (identical)","""//input[@title='Select Admission source']"""
"pageAdmitIPAdmitRoad.js","cmb_AdmissionType","4","harmless (identical)","""//input[@title='Select Type of admission']"""
"pageAdmitIPAdmitRoad.js","cmb_AdmissionType","16","harmless (identical)","""//input[@title='Select Type of admission']"""
"pageAdmitIPAdmitRoad.js","cmb_BedCategory","11","harmless (identical)","""//input[@title='Select bed category']"""
"pageAdmitIPAdmitRoad.js","cmb_BedCategory","20","harmless (identical)","""//input[@title='Select bed category']"""
"pageAdmitIPAdmitRoad.js","cmb_intendedManagement","5","CONFLICT (different xpath)","""//input[@title='Select intended management']"""
"pageAdmitIPAdmitRoad.js","cmb_intendedManagement","17","CONFLICT (different xpath)","""//input[@id='icombobox_Text_C26']"""
"pageAdmitIPAdmitRoad.js","cmb_WardName","10","harmless (identical)","""//input[@name='icombobox_Text_C40']"""
"pageAdmitIPAdmitRoad.js","cmb_WardName","19","harmless (identical)","""//input[@name='icombobox_Text_C40']"""
"PageAllocatetocaseload.js","btn_yes","7","harmless (identical)","""//span[@class='Cmd_AK' and normalize-space()='Y']"""
"PageAllocatetocaseload.js","btn_yes","15","harmless (identical)","""//span[@class='Cmd_AK' and normalize-space()='Y']"""
"pageappAPCreOfferTCIBasicSrchCriteria.js","txt_ExpectedLengthOfStay","7","harmless (identical)","""//input[@name='iupdownbox_Value_C28']"""
"pageappAPCreOfferTCIBasicSrchCriteria.js","txt_ExpectedLengthOfStay","11","harmless (identical)","""//input[@name='iupdownbox_Value_C28']"""
"pageBookAppt.js","btn_Find","31","CONFLICT (different xpath)","""//td[@title='Click to find']"""
"pageBookAppt.js","btn_Find","43","CONFLICT (different xpath)","""//td[@class='Cmd_TTE' and @title='Click to execute the selected search criteria']"""
"pageBookAppt.js","btn_Finishnow","38","CONFLICT (different xpath)","""//td[@title='Finish now']"""
"pageBookAppt.js","btn_Finishnow","45","CONFLICT (different xpath)","""//h1[contains(text(),'Referral details')]/ancestor::table//tr[contains(@class,'TRSty3')]//button[@id='ic_C_C9']"""
"pageBookAppt.js","btn_Ok","32","CONFLICT (different xpath)","""//td[@title='Click to add the selected health organisation(s)']"""
"pageBookAppt.js","btn_Ok","44","CONFLICT (different xpath)","""//img[@id='ic_I_C7' and @title='Click to add the selected care providers(s)']"""
"pageBookAppt.js","btn_PopUpNo","12","harmless (identical)","""//td[@class='Cmd_TTE'][@title='No']"""
"pageBookAppt.js","btn_PopUpNo","19","harmless (identical)","""//td[@class='Cmd_TTE'][@title='No']"""
"pageBookAppt.js","cmb_SelectAction","47","CONFLICT (different xpath)","""//table[@dikey='cboSelectaction']"""
"pageBookAppt.js","cmb_SelectAction","50","CONFLICT (different xpath)","""//img[@title='Select the action to be performed on the referral']"""
"pageBookAppt.js","dte_ReferralAcceptedDateTime","40","CONFLICT (different xpath)","""//input[@class='DP_TB_Text']"""
"pageBookAppt.js","dte_ReferralAcceptedDateTime","53","CONFLICT (different xpath)","""//tr[@id='trMngReferralDate']//input[@type='text']"","
"pageBookAppt.js","txt_Identifier","3","CONFLICT (different xpath)","""//input[@title='Enter an identifier']"""
"pageBookAppt.js","txt_Identifier","30","CONFLICT (different xpath)","""//input[@title='Enter an identifier']"""
"pageBookAppt.js","txt_Identifier","42","CONFLICT (different xpath)","""//input[@id='it_C_itxtID' and @title='Enter the identifier']"""
"pageCBasicSearchCodingEntity.js","btn_Execute","5","harmless (identical)","""//td[@title='Click here to view results for the given criteria' and normalize-space()='Execute']"""
"pageCBasicSearchCodingEntity.js","btn_Execute","8","harmless (identical)","""//td[@title='Click here to view results for the given criteria' and normalize-space()='Execute']"""
"pageCBasicSearchCodingEntity.js","lbl_EntityType","2","harmless (identical)","""//label[normalize-space()='Admission']"""
"pageCBasicSearchCodingEntity.js","lbl_EntityType","6","harmless (identical)","""//label[normalize-space()='Admission']"""
"pageCBookAppointment.js","cmb_AppointmentType","3","CONFLICT (different xpath)","""//img[@id='icombobox_Image_C26' and @title='Appointment Type' and contains(@onclick,'ImageClick')]"""
"pageCBookAppointment.js","cmb_AppointmentType","14","CONFLICT (different xpath)","""//input[@id='icombobox_Text_C26']"""
"pageCBookAppointment.js","Cmb_Priority","4","CONFLICT (different xpath)","""//img[@id='icombobox_Image_C33' and @title='Priority' and contains(@onclick,'ImageClick')]"""
"pageCBookAppointment.js","Cmb_Priority","13","CONFLICT (different xpath)","""//input[@id='icombobox_Text_C33']"""
"pageCBookAppointment.js","cmb_Specialty","7","CONFLICT (different xpath)","""cmb_Specialty"""
"pageCBookAppointment.js","cmb_Specialty","12","CONFLICT (different xpath)","""//input[@id='icombobox_Text_C11']"""
"pageCBookAppointment.js","lnk_CreatereferralOP","5","harmless (identical)","""td[title='Create referral/episode']"""
"pageCBookAppointment.js","lnk_CreatereferralOP","8","harmless (identical)","""td[title='Create referral/episode']"""
"pageCreateCareplan.js","btn_FinishNow","9","harmless (identical)","""//td[@title='Finish now']"""
"pageCreateCareplan.js","btn_FinishNow","16","harmless (identical)","""//td[@title='Finish now']"""
"pageCreateReferral.js","cmb_RefPriority","6","CONFLICT (different xpath)","""//*[@dikey='cboRefPriority']"""
"pageCreateReferral.js","cmb_RefPriority","8","CONFLICT (different xpath)","""//input[@title='Select referral priority']"""
"pageDefUsers.js","btn_findnow","4","CONFLICT (different xpath)","""//td[@title='Click to execute the selected search criteria']"""
"pageDefUsers.js","btn_findnow","13","CONFLICT (different xpath)","""//td[@title = 'Click to execute the selected search criteria']"""
"pageDispatchVolumes.js","btn_Finish","2","CONFLICT (different xpath)","""//span[normalize-space()='Finish']"""
"pageDispatchVolumes.js","btn_Finish","8","CONFLICT (different xpath)","""//td[@title='Finish']"""
"pageEditBedBooking.js","btn_Finishnow","6","harmless (identical)","""//td[@title='Finish now']"""
"pageEditBedBooking.js","btn_Finishnow","9","harmless (identical)","""//td[@title='Finish now']"""
"pageEditBedBooking.js","cmb_ManagementIntention","2","harmless (identical)","""//input[@title='Select Management intention from the list']"""
"pageEditBedBooking.js","cmb_ManagementIntention","7","harmless (identical)","""//input[@title='Select Management intention from the list']"""
"pageEditBedBooking.js","cmb_priority","3","harmless (identical)","""//input[@title='Select priority']"""
"pageEditBedBooking.js","cmb_priority","8","harmless (identical)","""//input[@title='Select priority']"""
"pageEPRView.js","btn_AccessplanningEPL","42","harmless (identical)","""//td[normalize-space()='Access Planning']"""
"pageEPRView.js","btn_AccessplanningEPL","53","harmless (identical)","""//td[normalize-space()='Access Planning']"""
"pageEPRView.js","btn_Referral","23","CONFLICT (different xpath)","""//td[@caption='Re&ferrals']"";f"
"pageEPRView.js","btn_Referral","52","CONFLICT (different xpath)","""//td[@caption='Re&ferrals']"""
"pageEPRView.js","lbl_createAccessPlanEntrySCL","43","harmless (identical)","""(//li[contains(@caption,'Create access plan entry')])[2]"""
"pageEPRView.js","lbl_createAccessPlanEntrySCL","54","harmless (identical)","""(//li[contains(@caption,'Create access plan entry')])[2]"""
"pageFindandbook.js","btn_Finish","21","CONFLICT (different xpath)","""//td[normalize-space()='Finish']"""
"pageFindandbook.js","btn_Finish","27","CONFLICT (different xpath)","""//td[@title='Finish']"""
"pageHIALRCloseallergy.js","btn_Finish","19","harmless (identical)","""//td[@title='Finish']"""
"pageHIALRCloseallergy.js","btn_Finish","30","harmless (identical)","""//td[@title='Finish']"""
"pageHIALRStrikeallergy.js","btn_Finish","33","harmless (identical)","""//td[@title='Finish']"""
"pageHIALRStrikeallergy.js","btn_Finish","37","harmless (identical)","""//td[@title='Finish']"""
"pageHome.js","btn_Find","13","harmless (identical)","""//button[@title='Click to Find']"""
"pageHome.js","btn_Find","71","harmless (identical)","""//button[@title='Click to Find']"""
"pageHome.js","btn_Finish","67","CONFLICT (different xpath)","""//span[normalize-space()='Finish']"""
"pageHome.js","btn_Finish","146","CONFLICT (different xpath)","""//span[.//span[normalize-space()='F'] and contains(normalize-space(.),'Finish')]"""
"pageHome.js","btn_OK","26","CONFLICT (different xpath)","""//button[@title='OK'][contains(@class, 'Command_Normal')]"""
"pageHome.js","btn_OK","195","CONFLICT (different xpath)","""//button[@title='Click to add the selected patient']"""
"pageHome.js","btn_PopUpNo","73","CONFLICT (different xpath)","""//td[@class='Cmd_TTE'][@title='No']"""
"pageHome.js","btn_PopUpNo","126","CONFLICT (different xpath)","""//td[@class='Cmd_TTE'][@title='No']"""
"pageHome.js","btn_PopUpNo","197","CONFLICT (different xpath)","""//td[@class='Cmd_TTE' and @title='No']"""
"pageHome.js","btn_PopUpOk","121","harmless (identical)","""//td[@class='Cmd_TTE'][@title='Ok']"""
"pageHome.js","btn_PopUpOk","196","harmless (identical)","""//td[@class='Cmd_TTE'][@title='Ok']"""
"pageHome.js","btn_Yes","22","harmless (identical)","""//td[@title='Yes']"""
"pageHome.js","btn_Yes","172","harmless (identical)","""//td[@title='Yes']"""
"pageHome.js","btn_Yes","204","harmless (identical)","""//td[@title='Yes']"""
"pageHome.js","chk_Selectcheckbox","138","harmless (identical)","""//input[@type='checkbox' and @data-role='checkbox' and @aria-label='Select row']"""
"pageHome.js","chk_Selectcheckbox","150","harmless (identical)","""//input[@type='checkbox' and @data-role='checkbox' and @aria-label='Select row']"""
"pageHome.js","cmb_Gender","69","CONFLICT (different xpath)","""//input[@title='Enter a gender value']"""
"pageHome.js","cmb_Gender","158","CONFLICT (different xpath)","""//label[text()='Gender']"""
"pageHome.js","lbl_Gender","68","CONFLICT (different xpath)","""//label[text()='Gender']"""
"pageHome.js","lbl_Gender","159","CONFLICT (different xpath)","""//input[@title='Enter a gender value']"""
"pageHome.js","lbl_PatientBookBanner","78","harmless (identical)","""(//td[@class='CxtBar_TD6'])[1]"""
"pageHome.js","lbl_PatientBookBanner","199","harmless (identical)","""(//td[@class='CxtBar_TD6'])[1]"""
"pageHome.js","lnk_AdmitTaskPane","61","CONFLICT (different xpath)","""(//span[text()='Admit'])[1]"""
